col_0,col_1,col_2,col_3,col_4
kns,1944,yxuf,2379,3440
kww,2311,exqp,857,269
tdu,2305,czlq,2393,1105
uyk,1655,sngo,2425,325
gxj,1158,ytpi,1308,4189
lse,1571,rvtt,2771,2796
fnl,442,wlks,1781,2307
oop,853,iyfc,117,2922
nrk,762,hfei,124,3431
xst,660,rvfp,2096,4856
wiu,792,dvfe,1009,3815
ijr,2484,djgo,1059,2313
oel,1871,wejf,1415,4227
xuz,1697,wsvu,1963,2312
rmo,324,ihzv,1079,215
tnl,1230,bhkb,2840,2324
wqb,76,mugt,111,2596
svt,1351,myks,2869,945
jic,2228,ecob,217,2176
zzv,1113,mirs,1645,2836
zzf,347,syig,2591,1590
wja,1342,fgyn,2827,3715
wkr,2246,autk,552,1158
hum,1515,dpeg,1367,3971
gbi,909,qoua,555,3475
lel,602,ogst,545,1853
nky,220,cgam,2896,4831
xka,487,adaw,1134,1905
tky,109,qgos,1949,4380
uul,1633,ulnn,297,3232
etv,1740,pnhh,366,1060
yrj,2236,cyaj,967,321
zeb,761,virp,2727,212
jke,1678,tlyy,999,1810
umc,1192,oath,3043,2808
ugi,308,lneh,514,1396
nps,1556,nwjg,2984,4121
utw,1623,dnvx,753,899
urs,1781,pjfw,2954,1160
xsw,2330,cxtx,2296,3592
ssy,1406,wwso,2752,3127
icf,334,aorz,2271,2373
rol,1723,ebce,285,511
hma,619,ftvp,3281,544
rgd,680,gerk,2080,2907
arc,2403,nlow,407,778
wql,1396,vgec,1653,1181
nbv,999,hort,45,2644
tos,1693,mhvj,2756,1517
tvp,1461,ubsd,1357,4694
hgp,1998,vvez,1580,3432
ihm,1137,jbyb,1944,3294
fja,2345,ewbc,2008,3791
vtf,1616,yboo,200,1366
zan,2117,qwda,3224,1510
jfd,1902,lpzh,744,4320
qfv,990,qpqy,1669,588
ycj,707,azdr,2965,226
yid,1602,xevc,2751,2748
idc,1069,tnzn,671,2035
mqp,676,imsz,1917,1892
gzs,2091,dpek,3066,4870
orl,656,okau,2051,1289
rpw,891,awhr,1682,957
mak,151,fdxe,1446,2351
mkm,566,agja,2888,82
slg,810,zrsz,57,4378
snt,921,srgd,2417,4230
wtx,1420,cytm,1251,371
hld,1566,djrg,1492,676
wfc,1896,dpex,820,4898
ryz,94,ykew,2235,4158
ffy,106,hnbb,2234,1279
kuk,403,pidj,2539,4778
yhd,1641,vazl,885,1963
pkt,1887,otfr,2665,4879
fyp,1580,opcw,918,1770
dhv,1897,cslb,583,4791
hqp,198,azqj,840,3146
kxc,484,wisy,678,4926
tiz,993,jxdz,2762,4474
jff,294,mavx,217,2846
iep,2047,ukfp,2851,1903
gjm,987,xrat,147,33
ubn,422,zjft,2209,4903
duq,1315,ukcc,226,234
dwv,1918,biaa,2327,1455
zxb,1416,ufyw,3003,4718
vny,145,vkav,755,722
gmh,25,brjx,3121,1566
yue,357,jxsi,232,1782
qyx,962,injv,3066,1003
hdc,539,vxim,2858,3935
ntm,728,tshi,1116,3041
sod,2134,nyzl,65,1672
lru,642,rofq,134,2941
imx,2365,vzza,2573,1812
ele,2023,pngb,3229,1931
lxk,976,vfae,2063,62
sar,354,jaej,2661,1236
zti,1235,hick,371,2755
uup,1050,blcp,2636,1612
asm,51,ecac,2454,2013
juu,1050,nygk,601,3953
gyz,1049,zdif,2499,487
ayp,796,tsqs,2722,1462
zrj,2440,scog,2767,1308
yme,437,hhbv,1778,1232
bqc,895,xxjg,265,4259
axp,145,ecaj,1695,177
pfx,2487,qomb,415,4897
ehs,2469,dpqz,2603,3636
sik,437,oxal,3091,927
nqq,1878,jeqa,2950,4977
eot,180,agbq,2046,2941
pwz,65,icvy,2593,1390
msn,943,ytmt,1852,4502
qub,607,pmvi,1119,185
pkc,1075,shvj,518,1773
akd,1949,jbfq,1971,2546
rnl,1445,yvnp,40,3714
obo,2026,nncs,936,3320
duq,237,vvqm,553,3095
ogl,1704,lvck,2070,4714
bch,1521,hphd,2411,4814
mmq,2061,kdex,1622,3649
xjn,165,vquy,2187,2393
ywc,1928,dkun,2006,2111
oeb,937,uagp,675,4071
vys,192,mzin,1629,1466
rcv,2199,lbmu,2286,2125
ict,1713,nund,642,659
nwg,1450,mean,1808,2078
zop,479,vonc,2892,2151
xar,548,oanp,2605,2703
xhw,953,nzml,11,1749
dcb,1493,mijq,1516,3483
cow,2233,yoig,1535,2706
hja,553,svep,2960,368
vxj,1953,guqr,2562,3291
blq,173,lydu,3064,2242
ezg,1293,pxbb,798,4643
iep,225,uxae,757,1837
hus,292,ggor,1744,1997
igr,944,wqmm,2690,513
dao,552,kncy,150,1751
kng,1760,atej,1312,4042
lvv,1088,vutc,3067,3646
cgv,850,ibqz,295,997
vly,1432,oupv,3234,2417
rmz,1395,khcp,2233,432
fhl,142,zzcb,2550,2216
azf,2152,qpys,1789,407
rxv,953,whnm,1104,4227
rim,67,qspm,2606,2998
iym,80,igtj,1567,3319
fjj,2241,qdtf,2380,3305
rjk,1035,ampo,916,3312
zfk,1485,pgja,2863,688
exa,48,cikx,2235,616
vun,1526,fcmk,622,241
vdz,622,pghw,2044,277
jlp,147,jomi,432,2135
xam,1431,kyxo,1480,3231
mxa,454,eyfi,3208,3513
tsa,166,diel,1913,2778
plc,1148,nhgu,748,4552
sse,450,xuld,1687,4315
pwh,2340,ztho,1680,911
kty,759,tcxc,2395,633
tkd,1140,jjkm,2611,1241
xtt,83,bcxu,1860,1367
cru,399,iwtw,2764,3346
yfp,2091,pgvs,406,4613
rjt,1064,sdxd,1930,2731
ptg,385,oyhx,2323,2642
jne,511,swfv,1420,3630
ifc,2007,xhxr,1697,2062
ilj,966,grbj,194,215
gwi,2288,etqe,2843,1207
wec,845,etpu,1563,3944
jrg,2182,qlsk,1761,392
fcj,1905,mtnw,525,23
muk,1932,rije,2448,2892
xtv,2364,capw,3191,3193
ztq,2459,hvqb,730,3835
wyc,489,whnt,2028,3421
mes,1557,hidt,998,1779
lbw,2319,idgk,3136,1916
qnu,2007,uqwy,2254,4141
xqc,2007,oeih,1389,96
rim,859,hgpw,748,2344
ixu,1412,vrag,1783,1713
cor,473,kvfq,2475,4484
int,1148,ovmm,869,1568
fme,1912,qpvk,2879,3229
vny,1982,sdqo,1735,2745
ble,1122,znue,1009,331
hkn,1449,mijq,844,3128
lmz,1914,xiyh,1364,1906
zlu,2273,zaip,1438,782
gkg,948,fzrx,1347,2539
mmi,583,cbae,2223,2510
nvk,606,hgrb,2552,648
oql,120,qyrc,476,4572
ojl,494,vsqo,3231,3929
wsq,1226,sxdn,2957,3153
icf,1190,sxuq,2120,1436
skt,996,wznw,2687,2938
kir,938,hakv,1670,1228
ubr,1370,exxs,1415,3136
xxw,1139,ovsy,1405,4929
vbu,759,irrf,2980,4854
ujt,842,dczm,1741,2534
idw,474,fany,3041,4744
fzo,2324,irud,1828,4253
kjv,2285,wwht,331,2532
awq,950,ombv,1848,714
oqm,2185,yids,2868,4297
yqy,875,gdjq,2177,2955
rfx,1643,qjph,1116,2777
tca,850,oeat,1651,1231
ebx,1144,wnsz,2067,1835
isq,682,cfre,1798,496
gfa,1181,kcnw,1818,1110
bpc,333,arrw,2937,119
wra,3,rxad,509,294
skd,548,shie,1443,1603
xux,2365,uvid,1958,2845
obm,2224,krmp,1063,4976
hlg,1364,wpxz,1860,3270
zed,1939,admz,1351,4071
gsz,135,wqts,1476,3718
fad,939,iqpe,2878,1360
lvw,372,khaj,818,2600
jcm,2314,ijwq,748,306
yip,346,pphc,2620,2754
ukc,2376,freh,3110,4159
nqq,2380,iicj,2600,697
oqk,2131,pkvf,645,2417
ifb,910,ecgs,2542,4534
vgr,2291,irzi,2834,3326
ypi,281,mayf,2411,4136
ccy,937,joup,2432,4349
ked,1631,iauw,2950,2936
rfu,720,xsqb,2613,1240
zqa,791,kiiq,494,3395
xvr,1375,firw,3255,1362
iie,2101,qaho,2950,1274
fen,916,lzaa,1305,2638
xzz,1907,nsux,1268,2724
pda,1242,rjxj,974,1958
kuc,1453,vnjl,1874,122
kie,2173,jxga,49,1641
zav,119,uheh,369,301
lwg,1163,jqvn,451,4130
ync,642,lrdp,1426,4564
etq,2023,kxne,1064,2718
dfo,1414,vokk,881,747
mka,1045,zlfj,934,3152
yue,1875,ocox,3103,2837
zxb,1598,dsgx,521,3013
xxj,856,obfj,2690,4703
itf,1492,zfhx,1377,3741
qdk,1720,rguc,1242,368
czi,1987,yykr,2292,3977
mkz,265,eido,704,3647
lzj,1615,ciov,1315,2494
mra,1704,ngmq,1880,1849
blo,2337,bvnv,2815,1497
uhq,1373,cyhl,279,3270
jai,2446,nlzz,2701,106
fxd,2017,lzoo,859,1885
rta,654,qocr,1559,4168
ewe,345,eehm,239,348
ogf,1732,kghw,3173,1809
svl,1381,ebgr,1556,753
xbb,971,ffqs,417,2839
ucd,144,azjo,719,922
nrv,1007,bsrz,1467,3721
zky,1890,oepk,2795,3581
wqo,2333,nmaj,2837,2311
rwo,2350,kutg,2700,4751
vmf,1698,ruot,2128,2526
czs,1349,xvrg,3032,1641
ppa,662,bseo,2214,1258
gua,836,uagp,2605,4716
vjl,1165,qilx,357,4454
ajs,2049,ngib,796,460
vun,1346,grbr,1634,2717
lyh,2169,ssgo,403,3618
xzm,26,qcmh,1797,1356
nrt,1567,pseq,134,2448
uur,935,lvkq,1473,4315
xrf,1196,efoy,1959,909
dxh,1923,zaxg,627,542
cmj,803,snts,2493,3749
emx,214,aqii,2932,2528
tpw,924,xpwy,2217,1169
mtk,251,wtht,2860,3040
peh,1611,hful,1466,3397
xec,1883,ktcb,1774,1301
ubp,1378,lfwy,447,1325
kgv,80,kiee,1355,3749
jnu,1758,inap,2600,946
wsb,1687,lkie,552,3934
nev,2468,uzzp,1384,2281
xel,208,fnvf,2089,4067
oje,1332,etwk,2202,3828
fle,474,othi,1923,2406
tty,636,qdxk,2970,3415
tyr,229,nunx,1618,1140
jhg,644,xodr,1005,1140
ueu,2292,rpns,3177,2409
vft,944,gerv,3154,1681
ixs,2158,xpiy,355,1891
eui,115,diri,707,2665
kwd,1117,mlux,306,4444
arh,1821,tbze,2637,3121
mgz,1742,zfjv,2742,3134
vgy,2008,lvhj,2638,3872
rqw,1037,knru,2491,4815
ynq,351,bcxa,334,4056
oli,1304,qdpt,1148,1288
nrq,161,oygn,1298,1639
sts,1080,fqlr,455,1613
hea,218,dcmm,241,4006
rxw,1821,flcz,232,4014
akd,995,spfk,334,1122
dnm,2368,hzon,1731,1621
rzy,1188,xmbd,1159,1186
hrb,1669,bcgh,389,2592
fap,422,ugwh,2541,4972
ffz,1763,ngln,2043,432
pvv,2170,expv,1565,3341
wps,622,tuuw,1853,1123
vda,640,ookd,401,4364
rap,738,fsba,3202,4301
vdg,1741,udqb,1155,4201
nqz,611,dslj,201,318
ezi,2029,kdkk,3072,930
lyd,831,eodb,3316,3281
pdx,232,chic,3133,2720
dft,762,augl,2384,4241
ule,2215,xuel,2848,932
xcq,1357,andg,3108,4075
iap,2474,cgvx,1296,2666
vwk,2086,xbbi,1725,4104
uif,343,stlk,2298,2614
lxm,423,rnxf,860,3862
slf,1166,rhmb,1665,725
kai,1829,bseo,1531,1701
ryt,174,xpwn,2752,105
ifi,2317,lupx,894,3971
rgv,43,eezv,906,3591
gvi,1634,gzwe,2189,3483
sno,352,iqrp,985,374
uab,1620,nkfh,1242,2192
vss,484,jdtp,3215,492
rcc,422,cpth,75,741
ufk,2129,rsud,865,4817
pxf,780,pgld,2540,2905
mlu,763,ytow,2232,1789
phj,1789,gdfk,2762,3565
zyd,2090,jale,1549,3733
mrg,1706,ljja,1309,2594
tma,2122,eyqt,2180,2285
qmd,537,dgkw,2631,1628
vuc,1677,gezn,1601,351
dnm,2389,djso,2250,4958
pka,459,mfju,2528,3233
nny,551,uput,566,1741
utx,871,tpot,204,3327
gzd,46,mezy,2195,3040
rba,2222,ykee,1778,4099
qvu,718,rlxp,2362,2483
dax,2225,sxyy,2204,1104
olr,1167,lksc,1090,935
bfy,1429,czpc,1051,2348
nbk,1382,fqrh,1577,4332
cnb,1622,wyvu,1346,3058
yxa,1773,nqab,2493,3879
ati,323,qjph,15,3608
zoq,785,mbmy,1893,3014
rfe,2279,muug,3167,1050
pgn,311,oryt,2878,1508
mxo,2028,zlzp,3213,3579
shq,2402,yjcf,2632,4576
tvu,1334,yohk,58,3434
yjq,945,mnuh,2488,4623
yqf,1055,fmpx,1418,3956
vvu,1678,mutb,1350,2034
ozv,1730,gdql,497,1159
vsj,1996,ugjj,1849,3391
ctr,912,ghfr,1473,3172
lkq,1723,dksz,3153,3506
nvy,41,nfxg,344,510
kyq,1505,cjdx,2910,1411
tkw,2041,mwwp,794,838
fdv,1975,zsfw,1414,2606
puw,1228,gpyj,1374,2721
xti,1325,freh,326,1084
hum,629,fjgw,2742,600
wlz,1589,pmpi,1453,2988
wzd,1043,qxrz,862,107
mdw,755,agdx,281,100
qfz,1784,sfvo,2232,1174
qui,2317,uebb,381,2202
gam,610,shfm,2037,271
pil,2237,zvfr,744,797
lyz,245,jqwh,2325,2503
hvc,637,xlpn,216,2909
jhn,1473,xqnz,2454,1293
iat,1175,iajr,2859,1280
ena,979,edyd,2571,3127
fjo,1786,ftip,1045,2273
xmf,1800,hlnf,731,4478
avk,294,hvvm,1313,4905
xna,1324,yltz,2018,3814
rqn,1486,ltvw,2081,1837
gbf,1290,rfbk,2204,4189
ell,1914,nipl,404,4737
kax,2297,lbwe,2074,3479
xud,1582,swsi,2139,3340
fle,1480,kdqt,1502,4676
vnw,1371,jafq,3020,2149
esu,1527,yvkc,1886,549
bnh,2424,cfgi,1766,962
jwv,2188,gtva,1193,152
wse,505,jhdk,2986,2889
coj,112,jimq,2881,1495
bbl,904,ztjw,1121,2142
swe,1375,chet,2446,4721
nkp,2379,knhk,918,3035
chc,1119,cozw,685,784
yaq,1879,bqrt,2085,4193
bed,1642,nawp,1032,2390
hxa,1636,pxbp,2524,4973
ktt,648,ktnn,3022,3348
tev,1942,orzq,2535,1951
qss,1116,vxzq,1621,3445
arn,693,fawt,718,909
jtp,1948,ruqz,374,1374
nls,1833,rnzf,2466,3644
cje,1108,bdsc,1204,2286
rwu,1010,vsrc,1759,3121
wtt,2190,gtsx,1453,1987
eqg,524,mnuh,3290,1660
uxn,1942,ehoq,3028,2355
hvo,1379,stis,445,2244
uug,1313,aevk,2503,3559
ebv,1021,ykoy,2008,4350
czm,1307,wnyb,1335,4594
gir,2224,ecws,902,885
gyr,1620,pegm,1992,1897
kya,877,uqhw,1669,3045
fzg,2335,ohiq,61,2241
tto,1111,ften,2213,204
nbk,1143,rwzx,3257,1888
awn,1590,tnaa,3103,1397
mua,1538,mpcj,162,3236
ani,2300,eptc,1759,2313
nxz,456,nfig,865,4700
qmj,315,nzrn,1576,216
quh,603,wznh,2813,4581
lvv,2346,svxz,1050,1697
moo,1967,zdnh,1836,4926
jxi,972,kkxx,1529,3129
fok,328,fiox,3188,5
eaq,1987,jmtz,3301,4755
tsw,2411,otai,2069,1535
rxu,1238,bjdl,1515,152
jsd,368,yylr,1425,3015
dva,1607,qtpd,1416,2806
dim,506,qqny,1507,912
bij,685,mzgi,1218,2332
rpe,949,cxpk,2812,4937
nrv,2240,nxat,1132,1087
tty,1430,lhmu,1088,2181
twm,2454,ilmc,895,3258
eyd,441,rmkq,62,4803
uif,1464,nckt,58,222
dto,1752,mqke,1657,2533
gjx,2,wgbd,430,706
bdo,209,xect,1095,689
qpv,813,azxe,1542,11
hnu,2440,yoqs,1204,187
sev,641,woow,442,4559
fmk,1281,ekpm,454,1602
nbv,739,qync,1897,1631
zqk,1316,hvyf,2060,3854
cmu,529,lgtw,970,120
zop,2202,xbsk,3219,1412
cfs,73,kieh,2769,3299
vhj,1103,uqwe,506,4688
hfp,709,wrub,1569,4422
kfj,763,xvdz,1057,614
gnc,495,nxjc,1664,569
epi,2297,tlsw,1501,1501
mdh,1232,mgae,75,868
lfz,2009,oipg,2981,2835
ljo,1759,wzof,839,4197
usa,292,anvw,2231,2416
rmo,1556,ckdm,2186,3646
fxi,2468,rbza,2878,3212
eid,34,vllr,1723,233
ijh,76,gtva,2313,3447
bgy,72,myks,1798,1671
cwp,764,otrs,2488,795
zac,2483,hyle,588,3961
mcu,1120,eyuc,896,250
hei,1502,cizf,1570,2606
ssn,804,jtfl,924,1926
eid,1778,avwm,1583,2871
job,1830,vfgw,3251,4579
bgy,1672,lpma,617,2003
zww,318,dhqr,344,2300
thg,1902,uwnu,2886,4827
hec,1593,aaty,3291,2177
vjq,2113,rihh,2797,4742
hbf,810,enbk,2529,2133
ver,1731,qgyj,1885,74
dom,816,vyhj,3043,1926
tii,116,nqhm,2273,736
lmz,1986,odwz,1101,2646
gtb,1705,isol,3151,3898
fmp,1453,jhwn,2898,964
msq,2026,anzb,1424,850
wfm,1729,hpld,491,2828
lgo,227,oyhx,1237,3156
eqr,1716,vchh,1062,585
ehr,1140,aufs,2541,2666
noi,214,vkvl,1495,4607
uyf,207,csxt,726,3545
dyl,1126,nhau,2320,1569
sox,1905,vpko,2107,2979
oau,1831,yczw,2612,2390
jtk,2144,izuv,500,4216
cnb,1281,xwzn,1118,4773
byk,2321,xxjg,798,1798
sos,2165,guaf,1365,1350
qzw,1864,qwdz,2978,4763
cqe,1302,zsat,2302,1740
ujd,1755,xpch,3176,1727
knh,328,ekej,1282,1899
dda,8,wjde,41,3959
ofw,2028,ejhf,3058,2507
ydk,1789,xbxf,2114,4846
cne,1300,vkxv,2759,3785
xhh,963,nppj,2064,2171
ury,1212,tlbl,3190,2054
rdr,2419,iijs,2240,2272
zxu,2238,etff,2736,1028
cjd,1726,khbb,1778,325
uyw,1037,aimk,1760,1998
oel,280,czah,2754,3694
lnz,1496,nacf,1593,2337
usq,2171,twmx,1226,1024
fsg,306,whdh,1102,6
pcj,1356,yroj,153,1538
gpq,1827,mflx,1403,3937
ubc,2408,fcek,1031,3278
rjl,2033,shpq,2353,3898
ycg,2167,zxdw,2127,3180
pmt,927,ysyh,1103,2468
jzi,1767,rbza,945,657
peu,1471,egbj,789,378
eqr,1075,ngcf,800,4276
lbi,1991,nldv,2356,234
kpg,538,ijrh,128,222
qbh,680,ukpt,514,3781
rnj,221,vopa,1650,1356
qgd,404,sijr,2176,2233
owh,2233,avwm,1261,1323
zdz,120,lras,2475,943
fpj,1285,hoer,206,1133
uny,2486,rpsk,1968,4228
kef,1857,bbsn,3100,4796
smd,1172,idff,1230,4436
tna,739,qhwa,3331,4669
svu,2476,bnek,2616,4185
hrt,882,zufw,1011,4291
hvu,1476,cbxn,74,4071
lzs,2262,uyzs,1749,4564
hhf,1395,yggw,501,1604
nck,1290,nmrh,3046,3142
sbd,830,ywwu,520,1722
zdu,1698,jdjo,2434,503
brf,1959,aufs,250,4232
yyr,654,foln,1503,4158
oay,49,crjl,533,4781
ede,711,iheb,1883,1310
lsu,2098,btco,1381,562
uyy,1181,myad,2821,2846
wtd,2296,yhsq,1660,1777
nse,128,ltyk,1800,2290
sem,465,qero,2397,1496
zbs,490,extf,87,1230
ksy,1117,ipuw,2137,2868
ujp,2018,ynwl,2761,2023
amc,511,ewmt,3269,2046
udl,1585,xqgn,685,3893
xuf,927,gaup,309,1875
fzt,1894,kwej,2615,631
xcc,1340,lizl,2743,3323
ckm,1368,whyi,3248,1969
kol,2154,qosq,2681,4912
rfb,1158,jpan,1246,1486
yqm,1784,gngl,3223,2050
ikj,620,udnv,133,1809
bip,1106,qhfk,516,2638
opl,525,drgf,2864,3865
spb,1490,ejta,2889,4553
sad,1889,bekj,597,1204
ght,1382,insl,2738,1133
pgl,2293,rzgg,766,3180
mct,1553,pqpk,763,4925
ynw,341,gjon,2770,1174
lsu,1694,pyyy,2733,2537
oqb,1609,hdmu,3286,1979
jrt,515,gueo,2525,1703
vxr,1780,isqs,1154,4958
xyh,1295,dqud,149,1687
laf,1028,ivdi,1184,2240
quh,441,yboo,2383,1347
weo,465,ejbp,1785,171
suq,663,slxp,697,3452
kqs,2392,yfin,1426,1980
jpv,1693,bpco,1811,2181
fic,241,xldg,3216,152
fmi,1853,djhx,2839,1588
cux,1757,cjyk,2373,3521
gyf,1742,nfft,908,3313
wsy,510,wtwt,3159,765
cdr,2263,mrqa,3157,4269
qpj,483,oyrv,2839,3039
ggy,506,ijwq,2285,2998
ogp,1215,kxne,112,2587
ljr,1183,jwvf,570,1218
ler,1874,bsvj,2886,3734
ujq,618,higs,1081,225
lvq,1147,rsph,2393,2148
mrf,182,gdsk,2242,509
srt,1955,jhhz,974,3661
jyp,2017,yxjy,3231,1113
kbj,905,clpi,518,108
fdb,776,koro,2395,1348
ics,2274,fbdy,2713,728
pkm,783,nxfv,2634,755
twx,1104,lags,2821,650
clw,2074,ksbx,681,3258
vdh,109,plfb,2376,4995
ign,1344,zvxs,2061,1331
gai,326,ordx,2620,1600
btl,1814,kcnt,647,2717
hec,1390,dzgq,604,1139
myo,1038,zdaf,3311,2374
pnd,1581,wtej,1993,1756
crl,2315,xmyq,1214,1646
qpt,1759,zxju,1196,65
uhq,1151,hhsu,2471,1364
blc,316,fwdg,3010,4790
aky,507,cqmf,2301,2890
nuu,2343,ubbi,1082,3637
pzo,393,nsow,1983,2453
vtz,375,rmkn,2600,721
gev,661,buib,1709,828
loh,1017,ssnw,477,648
tqy,97,rlhb,762,975
ion,2130,zhgh,1203,4874
rep,1735,dltx,3239,2105
ekx,2420,ocrs,1809,2020
wlu,928,ojdt,833,1221
fxz,1533,zdew,123,3111
glg,1954,kfcv,1455,4586
can,1891,hmnr,2085,3775
nax,1546,yzoa,2104,2187
ppg,1012,yluf,9,2040
vpl,851,rigs,1245,1764
vdt,2060,mgdn,2866,2129
ejr,729,gvla,178,4567
miv,2365,yfhj,1890,728
zfj,509,vxeo,1521,4240
ugq,117,bsay,3136,3533
dee,128,mcxr,2801,2686
pub,2342,jibt,1497,263
qyp,1005,vudm,2042,4258
izq,500,cecp,2242,2512
uce,234,nhjw,1654,1366
std,2387,vqlv,1287,1287
voj,1774,xwxk,2928,3228
jjw,1059,rihh,2201,3113
ild,301,ddpt,499,3838
vfo,781,cqzh,2812,3222
yau,2432,kphh,2164,1444
tbt,1480,nicl,2510,4760
orp,1020,blei,1006,1372
wiw,1744,eshq,2829,4554
jtl,1358,ztdm,418,366
xga,2460,swkz,1088,1091
mhx,1202,zrhf,810,2866
rhc,795,dsgx,774,552
hff,527,ftlg,2995,4926
pkm,24,kwki,2761,2265
erz,224,vrfh,2247,1958
ccr,1998,jeom,2565,4477
uos,463,fehw,2533,2635
lpv,478,ukhj,562,2950
pyd,2114,bxek,3027,3007
oqt,2485,hlze,539,3992
hws,2055,yefd,2034,3428
rrk,2077,vxcn,1477,2923
xpl,2285,wrwb,3005,2453
xye,2356,exmx,2674,583
xjn,2392,tdqr,1693,4186
ira,423,edra,2696,476
myj,1852,hrqg,3307,2826
qhk,49,sstj,191,94
psv,656,cytm,469,406
qiw,710,bgjs,1724,4559
dri,1920,wqxt,1759,4831
auv,2390,pkac,3049,2043
kkp,850,mtxz,1244,1720
kst,2379,sehw,807,2622
hhs,775,jagh,2881,2414
lak,1155,xeom,1213,4910
wdx,1145,frur,896,3479
ikj,1364,kjnl,79,3992
vsh,500,sycf,1184,4852
imn,1741,ejlr,3107,1837
pqt,2090,enxd,1806,42
jet,1628,ouap,2189,2934
miz,1340,sfjb,41,1837
vjc,1624,bztb,3003,4031
nee,1282,wbfk,2436,566
fey,281,tvyi,1924,1537
gdw,1742,vxeb,1337,473
wbb,507,delb,2715,4411
wxq,146,asyh,1514,4367
cie,291,tajf,2954,1465
auq,2146,oute,2839,278
ifc,501,muam,2819,3174
tdh,147,aufs,2728,2247
rrq,270,oxgl,3197,45
xha,2498,lvze,1957,2523
kfi,834,esiz,2087,3514
bfo,1300,qjgu,1596,3677
bee,199,qocr,2841,3358
uij,1352,dawu,1712,1679
ite,1103,fmll,0,4933
qva,747,ckyx,621,154
jjy,1593,yjwy,2313,4668
